Date,Price
2015-06-01,705.91
2015-07-01,680
2015-08-01,601.38
2015-09-01,599.5
2015-10-01,636.67
2015-11-01,608.21
2015-12-01,607.38
2016-01-01,611.63
2016-02-01,679.17
2016-03-01,715.95
2016-04-01,775
2016-05-01,753.42
2016-06-01,718.18
2016-07-01,678.16
2016-08-01,771.02
2016-09-01,797.85
2016-10-01,749.75
2016-11-01,766.93
2016-12-01,811.38
2017-01-01,825
2017-02-01,808.61
2017-03-01,778.7
2017-04-01,752.06
2017-05-01,762.75
2017-06-01,735.14
2017-07-01,720.48
2017-08-01,717.95
2017-09-01,755.28
2017-10-01,746.79
2017-11-01,728.86
2017-12-01,679.17
2018-01-01,703.45
2018-02-01,709.44
2018-03-01,706.19
2018-04-01,701.18
2018-05-01,687.29
2018-06-01,656.5
2018-07-01,616.14
2018-08-01,614.1
2018-09-01,605.15
2018-10-01,590.32
2018-11-01,539.1
2018-12-01,535.02
2019-01-01,584.58
2019-02-01,602.97
2019-03-01,573.02
2019-04-01,588.45
2019-05-01,563.2
2019-06-01,552.19
2019-07-01,543.88
2019-08-01,586.12
2019-09-01,580.3
2019-10-01,591.35
2019-11-01,683.38
2019-12-01,769.93
2020-01-01,834.85
2020-02-01,728.81
2020-03-01,636.25
2020-04-01,608.88
2020-05-01,576.56
2020-06-01,656.49
2020-07-01,694.16
2020-08-01,760.3
2020-09-01,796.22
2020-10-01,819.27
2020-11-01,917.81
2020-12-01,"1,016.37"
2021-01-01,990.27
2021-02-01,"1,019.86"
2021-03-01,"1,030.48"
2021-04-01,"1,078.05"
2021-05-01,"1,136.46"
2021-06-01,"1,004.42"
2021-07-01,"1,062.99"
2021-08-01,"1,141.82"
2021-09-01,"1,181.38"
2021-10-01,"1,310.25"
2021-11-01,"1,340.65"
2021-12-01,"1,270.29"
2022-01-01,"1,344.79"
2022-02-01,"1,522.36"
2022-03-01,"1,776.96"
2022-04-01,"1,682.74"
2022-05-01,"1,716.92"
2022-06-01,"1,501.10"
2022-07-01,"1,056.64"
2022-08-01,"1,025.95"
2022-09-01,909.32
2022-10-01,888.99
2022-11-01,945.74
2022-12-01,940.39
2023-01-01,941.97
2023-02-01,949.98
2023-03-01,972.06
2023-04-01,"1,005.24"
2023-05-01,934.06
2023-06-01,816.97
